,neighborhood,Current_Open_Cases,Average_Case_Length
0,Allentown,31,6.289115646258503
1,Black Rock,24,11.024105754276828
2,Broadway Fillmore,100,9.501655917727035
3,Central,70,7.334487534626039
4,Central Park,37,8.460789616008654
5,Delavan Grider,52,9.321274085725522
6,Ellicott,20,7.649606299212598
7,Elmwood Bidwell,75,8.255693348365277
8,Elmwood Bryant,67,7.840047393364929
9,Fillmore-Leroy,41,9.954001839926402
10,First Ward,22,8.25353645266594
11,Fruit Belt,36,9.404823428079242
12,Genesee-Moselle,60,10.551340414769854
13,Grant-Amherst,25,11.642370572207085
14,Hamlin Park,21,9.068172312839817
15,Hopkins-Tifft,139,7.823125996810207
16,Kaisertown,34,9.324550397323296
17,Kenfield,28,10.507900677200903
18,Kensington-Bailey,52,9.102891156462585
19,Lovejoy,61,10.249560632688928
20,Lower West Side,26,7.428474576271187
21,MLK Park,36,10.634420096205238
22,Masten Park,58,9.093108728943339
23,North Park,77,8.399751707014277
24,Parkside,62,9.263482914779745
25,Pratt-Willert,23,12.21152192605331
26,Riverside,69,12.79870759289176
27,Schiller Park,51,10.105982905982906
28,Seneca Babcock,21,10.817841079460269
29,Seneca-Cazenovia,36,7.945383104125737
30,South Park,67,7.964631043256998
31,UNKNOWN,441,18.36280056577086
32,University Heights,84,7.780110497237569
33,Upper West Side,53,7.346996868773128
34,West Hertel,20,12.171399594320487
35,West Side,62,6.945108169195996
